,lons,lats,data_values,data_errors,data_types,data_refs,model_values,diffs
185,-72.262,-33.493,53.0,,4,13,37.2025885266224,-15.7974114733776
186,-72.244,-33.497,52.0,,4,13,37.50578011989416,-14.494219880105838
187,-72.225,-33.501999999999995,55.0,,4,13,37.84788539586191,-17.15211460413809
188,-72.206,-33.506,59.0,,4,13,38.17686608507856,-20.823133914921442
189,-72.187,-33.051,68.0,,4,13,35.076584617533946,-32.923415382466054
190,-72.416,-33.46,34.0,,4,13,34.28322001129167,0.2832200112916681
191,-72.395,-33.463,34.0,,4,13,34.728267310644554,0.7282673106445543
192,-72.376,-33.467,37.0,,4,13,35.12914411947136,-1.8708558805286373
193,-72.264,-33.501999999999995,51.0,,4,13,37.37492728413148,-13.62507271586852
194,-72.265,-33.510999999999996,56.0,,4,13,37.54939441283158,-18.45060558716842
195,-72.268,-33.518,55.0,,4,13,37.649684538205335,-17.350315461794665
196,-72.271,-33.525999999999996,54.0,,4,13,37.75955271807147,-16.24044728192853
197,-72.273,-33.534,56.0,,4,13,37.87053417435861,-18.12946582564139
198,-72.27600000000001,-33.542,58.0,,4,13,37.956163752720904,-20.043836247279096
199,-72.278,-33.55,56.0,,4,13,38.041115471410414,-17.958884528589586
200,-72.28,-33.558,57.0,,4,13,38.111533559998605,-18.888466440001395
201,-73.285,-35.268,40.0,,4,13,35.08622558651537,-4.9137744134846315
202,-73.268,-35.271,50.0,,4,13,35.62703167014148,-14.372968329858523
203,-73.249,-35.277,57.0,,4,13,36.298577388231195,-20.701422611768805
204,-73.229,-35.281,53.0,,4,13,36.99562098779251,-16.004379012207487
205,-73.21,-35.287,52.0,,4,13,37.642708560194535,-14.357291439805465
206,-73.191,-35.293,44.0,,4,13,38.21729145205702,-5.782708547942981
207,-73.172,-35.299,54.0,,4,13,38.70395708101311,-15.296042918986892
208,-73.153,-35.304,55.0,,4,13,39.10861493038834,-15.891385069611658
209,-73.132,-35.31,66.0,,4,13,39.48240178479487,-26.517598215205133
210,-73.115,-35.316,84.0,,4,13,39.73916841521128,-44.26083158478872
211,-73.095,-35.321,73.0,,4,13,39.99615118721932,-33.00384881278068
212,-73.07600000000001,-35.326,83.0,,4,13,40.21175506391616,-42.78824493608384
213,-73.673,-35.905,69.0,,4,13,35.172735402970666,-33.827264597029334
214,-73.39699999999999,-35.904,69.0,,4,13,39.54090443268418,-29.45909556731582
215,-71.35,-23.366999999999997,9.63,,1,14,4.627081044570009,-5.002918955429992
216,-72.617,-31.416999999999998,31.4,,1,14,0.5343310573980722,-30.865668942601925
217,-66.923,-33.481,55.85,5.58,2,15,54.7057503835767,-1.144249616423302
218,-61.957,-26.854,65.6,6.56,2,15,48.70834974381589,-16.891650256184107
219,-66.775,-33.758,60.46,6.05,2,15,55.472671682460884,-4.9873283175391165
220,-66.795,-33.759,54.12,5.41,2,15,55.54699011451321,1.4269901145132096
221,-68.194,-30.083000000000002,37.45,3.75,2,15,54.56915418124489,17.119154181244888
222,-62.105,-33.122,55.89,5.59,2,15,49.558345346485346,-6.331654653514654
223,-62.772,-26.544,67.5,6.75,2,15,51.36690231884179,-16.133097681158212
224,-61.775,-29.908,53.47,5.35,2,15,45.163792620023735,-8.306207379976264
225,-61.832,-26.462,59.97,6.0,2,15,49.98198902839363,-9.988010971606371
226,-66.615,-33.812,65.97,6.6,2,15,55.09582066606521,-10.87417933393479
227,-62.395,-26.043000000000003,68.37,6.84,2,15,51.7411352499477,-16.6288647500523
228,-64.783,-26.783,100.76,10.08,2,15,53.640084193406345,-47.11991580659366
229,-66.68,-33.203,57.98,5.8,2,15,52.480645885916246,-5.499354114083751
230,-61.549,-27.358,73.31,7.33,2,15,46.30024079295071,-27.009759207049292
231,-63.97,-33.951,49.61,4.96,2,15,50.6890327452865,1.0790327452864972
232,-68.596,-29.51,42.21,4.22,2,15,54.179044955434634,11.969044955434633
233,-67.585,-34.758,65.34,6.53,2,15,59.30668626927845,-6.033313730721552
234,-61.996,-31.43,52.77,5.28,2,15,48.2979532910127,-4.4720467089873
235,-61.128,-27.054000000000002,58.73,5.87,2,15,47.15875377897907,-11.571246221020928
236,-61.26,-28.429000000000002,62.07,6.21,2,15,44.84541485535428,-17.224585144645722
237,-68.46,-30.281,54.01,5.4,2,15,55.384686826183156,1.374686826183158
238,-67.15,-31.8,64.03,6.4,2,15,51.476170468997005,-12.553829531002997
239,-64.024,-26.338,73.08,7.31,2,15,52.989208750440305,-20.090791249559693
240,-64.13600000000001,-26.259,78.38,7.84,2,15,52.943792819818356,-25.43620718018164
241,-62.652,-25.76,73.71,7.37,2,15,52.360795177420144,-21.34920482257985
242,-67.116,-34.024,74.73,7.47,2,15,57.25641549407762,-17.473584505922382
243,-67.16,-33.977,75.4,7.54,2,15,57.367417992212914,-18.03258200778709
244,-63.148999999999994,-28.354,65.05,6.5,2,15,45.770163336060534,-19.279836663939463
245,-68.593,-30.796999999999997,39.27,3.93,2,15,56.57331495375877,17.303314953758765
246,-68.584,-30.441999999999997,44.55,4.45,2,15,55.912185694173445,11.362185694173448
247,-63.751999999999995,-25.393,69.34,6.93,2,15,53.20884210147724,-16.131157898522765
248,-62.827,-32.85,58.48,5.85,2,15,49.75475847404371,-8.725241525956285
249,-60.071999999999996,-26.408,53.87,5.39,2,15,26.655284987030043,-27.214715012969954
250,-68.367,-29.971999999999998,43.78,4.38,2,15,54.665908487630404,10.885908487630402
251,-69.347,-35.422,71.82,7.18,2,15,72.9634397356013,1.143439735601305
252,-66.96,-33.286,71.67,7.17,2,15,53.79364721250781,-17.876352787492195
253,-62.863,-24.129,77.09,7.71,2,15,53.93457796652543,-23.155422033474572
254,-62.068999999999996,-32.509,51.05,5.11,2,15,49.125250211447366,-1.9247497885526315
255,-66.97800000000001,-31.381999999999998,52.81,5.28,2,15,49.9030821290943,-2.9069178709057013
256,-68.85600000000001,-32.282,47.91,4.79,2,15,57.81388866718699,9.90388866718699
257,-62.956,-28.864,60.15,6.01,2,15,45.11191226350288,-15.038087736497118
258,-66.68,-34.056,70.41,7.04,2,15,55.6477729379893,-14.762227062010695
259,-69.89399999999999,-26.753,26.32,,2,16,52.996431486405164,26.676431486405164
260,-69.895,-26.754,28.56,,2,16,52.97773906087072,24.41773906087072
261,-69.895,-26.756,25.09,,2,16,52.958433137757154,27.868433137757155
262,-69.89399999999999,-26.756,29.78,,2,16,52.96728055247546,23.187280552475457
263,-70.617,-27.98,23.05,,2,16,47.01430315940876,23.96430315940876
264,-70.91,-28.666,13.46,,2,16,44.911802885021594,31.451802885021593
